date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:21	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1677712603-ssl-df	https://crsorgi-gov90in.netlify.app/robots.txt		(from )
13:23:21	164/164	---M--	200	added ('OK')	text/html	etag:%220e83d6164bf86dd91d20eae1afc25399-ssl%22	https://crsorgi-gov90in.netlify.app/	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/index.html	(from )
13:23:23	10801/10801	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2235e33e89933e67c6dd4528cf19671464-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/ZUxnczdDcUg1NlhBR1plK28vTm9wdz09%3d.html	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/ZUxnczdDcUg1NlhBR1plK28vTm9wdz09=.0.delayed	(from https://crsorgi-gov90in.netlify.app/)
13:23:26	83663/83663	---M-Z	200	added ('OK')	text/html	etag:%2235e33e89933e67c6dd4528cf19671464-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=.html	(from https://crsorgi-gov90in.netlify.app/)
13:23:28	7942/7942	---MCZ	200	added ('OK')	text/css	etag:%22acbaa5195c133f117b03c1aa53954152-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/style.css	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/style.css	(from https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=)
13:23:29	1090/1090	---M-Z	200	added ('OK')	text/css	etag:%2263ae0c39fea733173382e57a9c210663-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/default.css	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/default.css	(from https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=)
13:23:31	4068/4068	---MCZ	200	added ('OK')	text/css	etag:%22034980fb4f915570aebd8de75b84f54e-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/main.css	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/main.css	(from https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=)
13:23:32	59/59	---M--	200	added ('OK')	text/css	etag:%2283243b20af0a89c0dacf7b5218a14730-ssl%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css	(from https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=)
13:23:34	14845/14845	---MCZ	200	added ('OK')	text/css	etag:%22cab8fb95ed7123969dc9b055d643989e-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	(from https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=)
13:23:35	24752/24752	---MCZ	200	added ('OK')	application/javascript	etag:%226f08dd75c7e0bc5f9e6515c48e581ca1-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/js/mm_menu.js	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/js/mm_menu.js	(from https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=)
13:23:37	143880/143880	---MCZ	200	added ('OK')	application/javascript	etag:%22c1f1d193b427fedbadf94a420a09a585-ssl-df%22	https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/js/jquery-1.9.0.js	C:/My%20Web%20Sites/J/crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/js/jquery-1.9.0.js	(from https://crsorgi-gov90in.netlify.app/crsorgi.gov.in/web/index.php/auth/deathcertificate/view/cert/d/zuxnczddcug1nlhbr1plk28vtm9wdz09=)
